"module","page","route_path","table_name","table_role","department","role","access_scope","crud_or_read","existing_policy_status","notes"
"Sales","Leads List","/app/sales/leads/list","sales_leads","core-data","SAL","","all","CRUD","none-found","Primary Leads CRUD table. lead_owner_id column exists and could support a future self-scoped write policy (staff edit only own leads, read all for team visibility) - not applied now, current frontend has no ownership filter anywhere (list query and mutation services both operate department-wide) so 'all' matches current behavior exactly."
"Sales","Leads List","/app/sales/leads/list","clients","lookup-dimension","SAL","","all","READ","none-found","Prospect half of the unified Lead account picker (leadAccountSearch.js/clientSearch.js) and the 'Client (Prospect)' filter. Also a core-data table in its own right - see Clients page rows below. Moved off the Clients page's own SAP link 2026-08 - see DASHBOARD-ROADMAP.md §1.4."
"Sales","Leads List","/app/sales/leads/list","sap_customers","lookup-dimension","SAL","","all","READ","none-found","Added 2026-08 - SAP-customer half of the unified Lead account picker (leadAccountSearch.js/sapCustomerSearch.js) and the 'SAP Customer' filter, plus the joined sap_customer relation read for already-linked leads' display name/contact/city and the LeadSidebar SAP-orders bridge. sales_leads.sap_customer_code is the FK - see DASHBOARD-ROADMAP.md §1.4."
"Sales","Leads List","/app/sales/leads/list","lead_source_types","lookup-dimension","SAL","","all","READ","none-found","Leads metadata dropdown (leadsMetadataService.js)."
"Sales","Leads List","/app/sales/leads/list","sales_leads_lose_reasons","lookup-dimension","SAL","","all","READ","none-found","Leads metadata dropdown (leadsMetadataService.js). UI field is currently commented out but the metadata fetch is still live on every page load."
"Sales","Leads List","/app/sales/leads/list","employees_public","lookup-dimension","SAL","","all","READ","none-found","Owners dropdown (leadsMetadataService.js). Cross-cutting HR-owned view, not Sales-owned - verify this doesn't conflict with a broader HR-authored policy on the same view."
"Sales","Leads Overview","/app/sales/leads/overview","sales_leads","core-data","SAL","","all","READ","none-found","Read via get_sales_leads_dashboard RPC (SECURITY INVOKER - RLS on this table applies to the calling user)."
"Sales","Leads Overview","/app/sales/leads/overview","sales_leads_stage_history","core-data","SAL","","all","READ","none-found","Read via RPC only (closing_dates CTE) - no direct frontend .from() call exists anywhere. Confirm whether the app or a DB trigger inserts rows here on stage transitions before assuming no write path needs a policy."
"Sales","Leads Overview","/app/sales/leads/overview","sales_leads_lose_reasons","core-data","SAL","","all","READ","none-found","lossReasonData CTE in the RPC - the reason label is the chart's own group-by dimension, not decorative."
"Sales","Leads Overview","/app/sales/leads/overview","sales_targets","core-data","SAL","","all","READ","create-not-confirmed-applied","scorecardData target/quota math in the RPC. Staff need READ here even though the dedicated Targets management page is manager-only (R4) - this is the one place a rep sees their own quota. Pair with the Leads Targets page's (SAL, manager, CRUD) row below under Postgres's per-command policy model: a FOR SELECT policy here plus a FOR ALL policy for managers gives staff read-only and managers full CRUD, without one overriding the other."
"Sales","Leads Overview","/app/sales/leads/overview","lead_source_types","lookup-dimension","SAL","","all","READ","none-found","sourceData grouping dimension in the RPC."
"Sales","Leads Overview","/app/sales/leads/overview","clients","lookup-dimension","SAL","","all","READ","none-found","topClientsData grouping dimension in the RPC (Prospect half - account_name/account_key CTE, added 2026-08)."
"Sales","Leads Overview","/app/sales/leads/overview","sap_customers","lookup-dimension","SAL","","all","READ","none-found","Added 2026-08 - topClientsData grouping dimension in the RPC (SAP-customer half - account_name/account_key CTE) and the 'SAP Customer' filter (getFilterConfig)."
"Sales","Leads Overview","/app/sales/leads/overview","employees","display-join","SAL","","all","READ","none-found","⚠ INNER JOIN in leadOwnerData and scorecardData.rep_actuals - an RLS denial here doesn't null the name, it silently drops the whole lead-owner's row from those two datasets. Cross-cutting HR-owned table, not Sales-owned."
"Sales","Leads Overview","/app/sales/leads/overview","profiles","display-join","SAL","","all","READ","none-found","avatar_url only, left-joined off employees.profile_id. Cross-cutting system-owned table."
"Sales","Leads Overview","/app/sales/leads/overview","sales_targets","core-data","SAL","","all","READ","create-not-confirmed-applied","Also read via the separate get_sales_targets_prorated RPC (fetchSalesTargets.js), used only by this page - table inferred from the RPC's name, not independently verified in this pass since that RPC's body wasn't read."
"Sales","Leads Targets","/app/sales/leads/targets","sales_targets","core-data","SAL","manager","all","CRUD","create-not-confirmed-applied","Manager-only page (R4) - sets/edits every rep's quota. sales_targets_budgets_crud.sql already drafts this exact policy (name-based join style) but its own header comment says RLS may not even be enabled yet on this table - confirm before relying on it."
"Sales","Leads Targets","/app/sales/leads/targets","employees","lookup-dimension","SAL","manager","all","READ","none-found","Sales rep picker (employeeSearch.js). Cross-cutting HR-owned table."
"Sales","Clients (List/Overview)","/app/sales/clients/list","clients","core-data","SAL","","all","CRUD","none-found","Primary Clients CRUD table. No per-rep owner column found - clients are department-shared accounts in this data model, not individually assigned, so no self-scope candidate here (unlike sales_leads). Prospect-only since 2026-08 - the SAP link moved off this table onto sales_leads.sap_customer_code directly (see the Leads List/Overview sap_customers rows above); this page and table no longer touch sap_customers at all. See hyrax-central-portal/docs/DASHBOARD-ROADMAP.md §1.4."
"Sales","Clients (List/Overview)","/app/sales/clients/list","industries","lookup-dimension","SAL","","all","READ","none-found","Industry dropdown (clientsMetadataService.js) - small reference table."
"Sales","Clients (List/Overview)","/app/sales/clients/list","sales_leads","display-join","SAL","","all","READ","none-found","Client detail sidebar's 'Leads' tab (fetchLeadsByClientId) - already covered by the Leads List CRUD row above, listed here for completeness of this page's own table footprint."
"Sales","Sales Orders","/app/sales/orders/all","sap_sales_orders","core-data","SAL","manager","all","READ","none-found","SAP is the system of record - file's own comment confirms no create/update/delete from the app anywhere."
"Sales","Sales Orders","/app/sales/orders/all","sap_sales_order_lines","line-item-detail","SAL","manager","all","READ","none-found","Order detail sidebar (fetchSalesOrderLines), embeds sap_items."
"Sales","Sales Orders","/app/sales/orders/all","sap_items","display-join","SAL","manager","all","READ","none-found","Embedded only, for the order-line item name (select *, sap_items(item_name)). Operations Reports needs this table far more broadly (stock position) - out of scope here, this row only covers the Sales line-item-name embed."
"Sales","Sales Orders","/app/sales/orders/all","sap_sales_persons","lookup-dimension","SAL","manager","all","READ","none-found","Sales rep filter dropdown (salesOrdersMetadataService.js)."
"Sales","Sales Orders","/app/sales/orders/all","sap_customers","lookup-dimension","SAL","manager","all","READ","none-found","Customer filter dropdown (searchSapCustomers/getSapCustomerByCode)."
"Sales","Sales Orders","/app/sales/orders/all","sap_pipeline_state","metadata-freshness","SAL","manager","all","READ","none-found","Data-freshness banner, filtered to pipeline_name='sap_sales_orders'. Low-sensitivity metadata - a single blanket 'any authenticated user' policy would also be a reasonable simplification instead of per-department rows, since it contains no business data, just sync timestamps."
"Sales","Sales Budgets","/app/sales/orders/budgets","sales_budgets","core-data","SAL","manager","all","CRUD","none-found","Manager-only page (R4). Keyed by sales_rep_code, not lead_owner_id - unlike sales_targets, no page grants SAL staff any read access to this table (get_sales_leads_dashboard does not read sales_budgets), so no staff READ row is needed here."
"Sales","Sales Budgets","/app/sales/orders/budgets","sap_sales_persons","lookup-dimension","SAL","manager","all","READ","none-found","Sales rep picker (salesBudgetsMetadataService.js)."
"Sales","Sales Reports","/app/sales/reports","sales_leads","core-data","SAL","manager","all","READ","none-found","Already covered for all SAL roles by the Leads List CRUD row above (blank role is a superset of manager) - listed here only to document that Sales Reports is also a consumer."
"Sales","Sales Reports","/app/sales/reports","sales_leads_stage_history","core-data","SAL","manager","all","READ","none-found","Already covered by the Leads Overview row above."
"Sales","Sales Reports","/app/sales/reports","sap_invoices","core-data","SAL","manager","all","READ","none-found","base_invoices CTE (order-vs-invoice / RCT2 chain) - see also the Finance rows for this table below; this row is the incremental SAL slice."
"Sales","Sales Reports","/app/sales/reports","sap_sales_orders","core-data","SAL","manager","all","READ","none-found","Already covered by the Sales Orders page row above (same SAL+manager condition)."
"Sales","Sales Reports","/app/sales/reports","sap_payments","core-data","SAL","manager","all","READ","none-found","base_payment_apps CTE - see also the Finance rows for this table below; this row is the incremental SAL slice."
"Sales","Sales Reports","/app/sales/reports","sap_payment_applications","core-data","SAL","manager","all","READ","none-found","base_payment_apps CTE - see also the Finance rows for this table below; this row is the incremental SAL slice."
"Sales","Sales Reports","/app/sales/reports","sales_targets","core-data","SAL","manager","all","READ","create-not-confirmed-applied","pipeline_target_math CTE (Forecast 1) - already covered by the Leads Overview READ row above (blank role is a superset of manager)."
"Sales","Sales Reports","/app/sales/reports","sales_budgets","core-data","SAL","manager","all","READ","none-found","budget_math CTE (Forecast 2) - already covered by the Sales Budgets page row above."
"Sales","Sales Reports","/app/sales/reports","sap_sales_persons","display-join","SAL","manager","all","READ","none-found","⚠ INNER JOIN in orderBookData and grossProfitByRepData - an RLS denial silently drops the rep's row from those two charts, not just the name."
"Sales","Sales Reports","/app/sales/reports","employee_sales_rep_mapping","display-join","SAL","manager","all","READ","none-found","Bridge table, resolves sales_rep_code to an employee for display only. Never queried directly by any frontend .from() call - read server-side inside this RPC only."
"Sales","Sales Reports","/app/sales/reports","employees","display-join","SAL","manager","all","READ","none-found","Display name via the mapping table, left join (no row-drop risk here, unlike the Leads Overview employees join)."
"Sales","Sales Reports","/app/sales/reports","profiles","display-join","SAL","manager","all","READ","none-found","avatar_url, left join."
