department,module,page,path,icon,page_type,has_overview,has_kpi_strip,has_status_tabs,nav_visible,access_gate,notes
General,Dashboard,Dashboard,/app,HouseIcon,Other,n/a,N,N,Y,none,"Personalized landing page (quick actions/today's attendance/dept launcher cards) - no row-level CRUD"
General,Notifications,Notifications,/app/notifications,BellIcon,List,n/a,N,N,Y,none,""
General,Profile,Profile,/app/profile,UserCircleIcon,Detail,n/a,N,N,Y,none,""
General,Department,Department,/app/department,UsersThreeIcon,Other,n/a,N,N,Y,none,"Interactive org-chart visualization scoped to caller's own department"
General,Employees,Employees,/app/employees,UsersFourIcon,List,n/a,N,N,Y,none,"Public directory; :employeeId drill-in is its own standalone page (excluded here, not nav)"
General,About,About,/app/about,InfoIcon,Other,n/a,N,N,Y,none,"Static changelog/version page"
Support,Help & Support,FAQ,/app/help/faq,ChatCircleTextIcon,Other,n/a,N,N,Y,none,"Static content"
Support,Help & Support,Guides & Policies,/app/help/guides,BookOpenIcon,Other,n/a,N,N,Y,none,"Static content"
Support,Help & Support,Glossary,/app/help/glossary,BookBookmarkIcon,Other,n/a,N,N,Y,none,"Static content"
Support,Help & Support,Contact & Escalation,/app/help/contact,LifebuoyIcon,Other,n/a,N,N,Y,none,"Static content"
Workspace,Projects,Projects,/app/workspace/projects,FolderIcon,List,N,Y,Y,Y,none,"Per-project detail (Tasks/Members/Documents/Overview tabs under :projectId) is one level deeper, not a top-level nav item"
Workspace,Tasks,My Tasks,/app/workspace/tasks,ListChecksIcon,List,N,Y,Y,Y,none,""
Workspace,Documents,Documents,/app/workspace/documents,FileIcon,List,N,N,N,Y,none,"Cross-project document index/search surface"
Employee,My Attendance,Overview,/app/employee/attendance/overview,ChartLineIcon,Overview,Y,Y,N,Y,none,"Shares get_attendance_dashboard RPC (self-scoped via p_employee_id)"
Employee,My Attendance,Attendance History,/app/employee/attendance/list,ListIcon,List,Y,N,Y,Y,none,"Candidate: mirror Pending Approvals/Attendance Anomalies tiles from Overview onto this list (see DASHBOARD-CONVENTIONS.md 2a)"
Employee,Team Attendance,Overview,/app/employee/team-attendance/overview,ChartLineIcon,Overview,Y,Y,N,Y,"roles:[manager]","Reuses HR's overviewConfig.js unmodified (manager-scoped via p_manager_id)"
Employee,Team Attendance,Attendance List,/app/employee/team-attendance/list,ListIcon,List,Y,N,Y,Y,"roles:[manager]","Same mirroring candidate as My Attendance"
Employee,Onboarding,Onboarding,/app/employee/onboarding,AddressBookIcon,Detail,n/a,N,N,Y,none,"Self-service read-only view of caller's own open case"
Employee,Offboarding,Offboarding,/app/employee/offboarding,DoorOpenIcon,Detail,n/a,N,N,Y,none,"Self-service read-only view of caller's own open case"
Sales,Reports,Reports,/app/sales/reports,ChartBarIcon,Reports,n/a,Y,N,Y,"departments:[SAL,MGM] roles:[manager]","Dept-wide cross-submodule dashboard"
Sales,Clients,Prospects,/app/sales/clients/prospects,ListIcon,List,N,N,N,Y,"departments:[SAL,MGM]","Reference/master data, no urgency dimension"
Sales,Clients,SAP Clients,/app/sales/clients/sap,DatabaseIcon,List,N,N,N,Y,"departments:[SAL,MGM]","Read-only SAP mirror"
Sales,Leads Pipeline,Overview,/app/sales/leads/overview,ChartLineIcon,Overview,Y,Y,N,Y,"departments:[SAL,MGM]","Analytical tiles + charts + leaderboards + AI Summary"
Sales,Leads Pipeline,All Leads,/app/sales/leads/list,ListIcon,List,Y,Y,Y,Y,"departments:[SAL,MGM]","Reference pattern - List's 4 tiles are deliberately ""what needs action today"" distinct from Overview's analytical tiles"
Sales,Leads Pipeline,Targets,/app/sales/leads/targets,CrosshairSimpleIcon,Detail,Y,N,N,Y,"departments:[SAL,MGM] roles:[manager]","Grouped rep x year quota tool with drill-in sidebar, not a classic list"
Sales,Sales Orders,All Orders,/app/sales/orders/all,ListIcon,List,N,Y,Y,Y,"departments:[SAL,MGM]","Covered by its own strip + dept Reports' Order Book tiles; no dedicated Overview"
Sales,Sales Orders,Budgets,/app/sales/orders/budgets,WalletIcon,Detail,N,N,N,Y,"departments:[SAL,MGM] roles:[manager]","Grouped rep x year quota tool with drill-in sidebar"
Sales,Sales Rep Mapping,Sales Rep Mapping,/app/sales/rep-mapping,LinkIcon,Settings,N,N,N,Y,"departments:[SAL,MGM] roles:[manager]","One-time setup/mapping table"
Sales,Guides,Guides,/app/sales/guides,BookOpenIcon,Other,n/a,N,N,Y,"departments:[SAL,MGM]","Static content (search + card grid); :topicId detail excluded here"
Finance,Reports,Reports,/app/finance/reports,ChartBarIcon,Reports,n/a,Y,N,Y,"departments:[FIN,MGM] roles:[manager]","Dept-wide cross-submodule dashboard"
Finance,Balance Sheet,Balance Sheet,/app/finance/balance-sheet,ScalesIcon,Statement,n/a,N,N,Y,"departments:[FIN,MGM] roles:[manager]","Known access-gate discrepancy vs Invoices/Bills (department-only) flagged in-code; single-page statement shape, no List"
Finance,Income Statement,Income Statement,/app/finance/income-statement,ChartLineUpIcon,Statement,n/a,N,N,Y,"departments:[FIN,MGM] roles:[manager]","Same access-gate discrepancy as Balance Sheet"
Finance,Cash Flow,Cash Flow,/app/finance/cash-flow,ArrowsClockwiseIcon,Statement,n/a,N,N,Y,"departments:[FIN,MGM] roles:[manager]","Same access-gate discrepancy as Balance Sheet"
Finance,Invoices,Invoices,/app/finance/invoices,FileTextIcon,List,N,Y,N,Y,"departments:[FIN,MGM]",""
Finance,Bills,Bills,/app/finance/bills,InvoiceIcon,List,N,Y,N,Y,"departments:[FIN,MGM]",""
Finance,Incoming Payments,Incoming Payments,/app/finance/payments,CoinsIcon,List,N,Y,N,Y,"departments:[FIN,MGM]",""
Finance,Outgoing Payments,Outgoing Payments,/app/finance/vendor-payments,HandCoinsIcon,List,N,Y,N,Y,"departments:[FIN,MGM]",""
